Date,Description,Original Description,Category,Amount,Status
2026-03-10,"Amazon","AMAZON MARK* BP0FO1GC1   AMAZON.COM/MAWA",Shopping,-28.95,Posted
2026-03-09,"Atlantic Energy Services","ATLANTIC ENERGY  SERVICES   ***********7236",Utilities,-157.84,Posted
2026-03-09,"Waller Co Mud","WALLER CO MUD 37 FBS MDS WA ***********",Utilities,-108.00,Posted
2026-03-09,"Alibaba Group - Klarna","Klarna*Alibaba.com       Columbus     OH",Financial,-126.18,Posted
2026-03-09,"Petco.com","PETCO.COM 6989           858-453-7845 CA",Pets,-102.83,Posted
2026-03-09,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-34.94,Posted
2026-03-09,"Circle Medical Circlemedicalca","CIRCLE MEDICAL           CIRCLEMEDICALCA",Doctor,-20.00,Posted
2026-03-09,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-11.54,Posted
2026-03-09,"Amazon","AMAZON MARK* BP88C59U2   AMAZON.COM/MAWA",Shopping,-9.21,Posted
2026-03-06,"Department of Education","DEPT EDUCATION   STUDENT LN ***********0000",Student Loan,-262.18,Posted
2026-03-06,"BENEFEDS Dental and Vision","FEDVIP-BENEFEDS  FEDVIPPREM ***********4V01",Health & Fitness,-12.37,Posted
2026-03-06,"Zelle Transfer to Micah Morrill","Zelle: Micah Morrill",Transfer,-1000.00,Posted
2026-03-06,"Wayfair","WF* WAYFAIR4426549095    WAYFAIR.COM  MA",Furnishings,-9.66,Posted
2026-03-05,"Apple","APPLE COM                CUPERTINO    CA",Electronics & Software,-2.99,Posted
2026-03-05,"PayPal Transfer","PAYPAL           TRANSFER   ***********3740",Income,2273.81,Posted
2026-03-04,"Overdraft Fee Window Refund","OD FEE WINDOW REFUND",Fees & Charges,29.00,Posted
2026-03-04,"OD FEE - ITEM PAID - ACH - PAYPAL          INST XFER","OD FEE - ITEM PAID - ACH - PAYPAL          INST XFER",Uncategorized,-29.00,Posted
2026-03-04,"Progressive","PROG COUNTY MUT  INS PREM   ***********icah",Financial,-236.29,Posted
2026-03-04,"Capital One Credit Card Payment","CAPITAL ONE      CRCARDPMT  ***********19AA",Credit Card Payment,-60.00,Posted
2026-03-04,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-29.99,Posted
2026-03-04,"Transfer from Cash App","CASH APP*MICAH MORRILL*  Oakland      CA",Transfer,34.32,Posted
2026-03-04,"Zelle Transfer from Micah Morrill","Zelle: Micah Morrill",Income,1100.00,Posted
2026-03-03,"PayPal Purchase","PAYPAL           INST XFER  ***********REZQ",Uncategorized,-2273.81,Posted
